anulacja;anulować;anulacja;anulowac;anulacj;anulownie;anulownaie;nieanulowanie;anulaj;anuloewanie;anulownanie;anuloanie;nieanulować;anulwoanie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reklamacja;reklamacja;reklamation;reklamcja;reklaamcja;reklamajci;reklmacja;reklacja;reklama;reklamationa;reklamacvja;reklamac;reklamancja;reklmamacja;reklamowanie;reklamaja;reklaamacja;reklamcaja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wysyłka;wysyłce;wysyłka;wysyłke;wysyp;wysylce;wysyłkąć;wysyka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
refund;refund;refundacja;refunda;refunf;refung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
przesyłka;przesyłka;przesylka;przesyłewka;przesyłkami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dostawa;dostawa;niedostarczona;niedostarczć;dostarczyć;niedostarczono;niedostraczić;niedostraczone;dostarczenie;dostarczeć;niedostaczone;dostarczć;niedostraczony;niedostaczona;niedostarcone;niedostarczny;dostawca;niedostaraczone;nieodostraczyć;niiedostarczona;niedostarczine;niedostarcozny;niedostaraczona;niedostarzona;niedostrczone;nedostarczona;niesdostarczć;niedostrczona;ninedostarczony;dostwa;dostaroczić;niedostyarczć;dostrczić;niedostarczenie;niedostarczonea;niedostarczzona;niedostaeczić;niedostarczoana;niedostacozne;dostaczić;dostway;nidostarczone;niedostarczpme;dostraczone;niodostarczony;dostrarczć;niedostarzone;nedostarczone;dostarcoyno;dostawe;niedostarczoone;nniedostarczon;dostawty;niedostaroczyć
opóźnienie;opoznienie;opoznić;opoznieć;opóźniić;opóźnienie;opóźnić;opóźnieniu;opóżniona;opóxnienie;opóźnienienąć;opóżnienie;opóźenienie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
uszkodzony;uszkodzić;uszkodzeć;uszkodzenie;uszkodozny;uszkopdzeć;uszkodznąć;uszkodzaić;uszkodzonie;uszkodczenie;uszkodzdenie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adres;adres;adresse;adresowy;adresskl;zaadresować;adrres;adresie;adress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ponowna;ponowny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paczka;paczka;paczkomacie;paczkomat;paczkmać;paczk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zapytanie;zapytanie;pytanie;zapytanienie;zapytamie;zpytać;zapytane;zapytatć;pytnie;zapypytanie;pytnaie;pytanei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zwrot;zwrot;zwrotny;zwrtot;zwrto;zwrócić;zzwrot;zwrocie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brak;brak;brakować;wybrakować;brakuć;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
niekompletne;niekompletny;niekomletny;niekopletny;niekomplet;niekoempletne;niekompetny;niekomplent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
faktura;faktura;fakura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inne;inny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
