,Agent interactions,final_label,volume
0,4,pytanie,Hight volume
1,3,niekompletny,Low volume
2,2,reklamacja,Low volume
3,4,pytanie,Hight volume
4,9,zwrot,Hight volume
5,49,reklamacja,Low volume
6,4,reklamacja,Low volume
7,2,reklamacja,Low volume
8,2,pytanie,Hight volume
9,2,pytanie,Hight volume
10,2,reklamacja,Low volume
11,2,,Low volume
12,4,,Low volume
13,4,reklamacja,Low volume
14,12,uszkodzony,Low volume
15,13,zwrot,Hight volume
16,2,pytanie,Hight volume
17,1,,Low volume
18,1,,Low volume
19,2,zwrot,Hight volume
20,6,brak,Low volume
21,2,reklamacja,Low volume
22,4,zwrot,Hight volume
23,6,,Low volume
24,2,pytanie,Hight volume
25,12,,Low volume
26,7,reklamacja,Low volume
27,3,reklamacja,Low volume
28,7,uszkodzony,Low volume
29,2,pytanie,Hight volume
30,2,,Low volume
31,6,reklamacja,Low volume
32,6,,Low volume
33,1,zwrot,Hight volume
34,3,pytanie,Hight volume
35,2,pytanie,Hight volume
36,6,reklamacja,Low volume
37,6,reklamacja,Low volume
38,4,reklamacja,Low volume
39,5,uszkodzony,Low volume
40,2,faktura,Low volume
41,1,,Low volume
42,7,adres,Low volume
43,10,zwrot,Hight volume
44,7,reklamacja,Low volume
45,6,zwrot,Hight volume
46,1,,Low volume
47,2,pytanie,Hight volume
48,3,reklamacja,Low volume
49,19,reklamacja,Low volume
50,6,dostawa,Low volume
51,3,pytanie,Hight volume
52,26,uszkodzony,Low volume
53,4,pytanie,Hight volume
54,14,reklamacja,Low volume
55,3,reklamacja,Low volume
56,3,pytanie,Hight volume
57,2,zwrot,Hight volume
58,44,reklamacja,Low volume
59,2,pytanie,Hight volume
60,3,reklamacja,Low volume
61,9,reklamacja,Low volume
62,10,zwrot,Hight volume
63,6,reklamacja,Low volume
64,7,,Low volume
65,5,reklamacja,Low volume
66,6,zwrot,Hight volume
67,12,wysyłka,Low volume
68,5,dostawa,Low volume
69,6,reklamacja,Low volume
70,6,pytanie,Hight volume
71,8,refund,Low volume
72,2,,Low volume
73,28,pytanie,Hight volume
74,10,zwrot,Hight volume
75,13,reklamacja,Low volume
76,2,pytanie,Hight volume
77,10,paczka,Low volume
78,3,reklamacja,Low volume
79,5,,Low volume
80,4,pytanie,Hight volume
81,2,,Low volume
82,2,dostawa,Low volume
83,6,brak,Low volume
84,5,adres,Low volume
85,3,,Low volume
86,3,pytanie,Hight volume
87,3,,Low volume
88,5,,Low volume
89,3,pytanie,Hight volume
90,3,inne,Low volume
91,5,uszkodzony,Low volume
92,4,,Low volume
93,4,,Low volume
94,6,,Low volume
95,6,reklamacja,Low volume
96,8,zwrot,Hight volume
97,4,zwrot,Hight volume
98,3,,Low volume
99,6,zwrot,Hight volume
100,6,reklamacja,Low volume
101,3,pytanie,Hight volume
102,19,zwrot,Hight volume
103,2,,Low volume
104,3,adres,Low volume
105,19,reklamacja,Low volume
106,6,,Low volume
107,23,reklamacja,Low volume
108,6,,Low volume
109,2,dostawa,Low volume
110,3,,Low volume
111,1,dostawa,Low volume
112,2,,Low volume
113,12,,Low volume
114,5,,Low volume
115,6,zwrot,Hight volume
116,4,adres,Low volume
117,3,,Low volume
118,2,,Low volume
119,5,pytanie,Hight volume
120,2,,Low volume
121,3,pytanie,Hight volume
122,11,reklamacja,Low volume
123,6,niekompletny,Low volume
124,18,,Low volume
125,4,brak,Low volume
126,18,uszkodzony,Low volume
127,8,dostawa,Low volume
128,6,reklamacja,Low volume
129,9,reklamacja,Low volume
130,5,dostawa,Low volume
131,8,zwrot,Hight volume
132,4,zwrot,Hight volume
133,2,zwrot,Hight volume
